Build ./bin/ssvnode
Build ./config/config.yaml
Build 
Command --config=./config/config.yaml --share-config=./config/share1.yaml
Running node on address: 84.110.33.146)
2022-09-08T14:44:23.005809Z	[34mINFO[0m	validator/controller_shares.go:36	successfully loaded validators from config	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "validatorsController", "pubkeys": ["855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271"]}
2022-09-08T14:44:23.006095Z	[34mINFO[0m	metrics/handler.go:60	setup metrics collection	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "metrics/handler", "addr": ":15001", "enableProf": false}
2022-09-08T14:44:23.217399Z	[35mDEBUG[0m	metrics/health_check.go:42	eth1 node is healthy	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491"}
2022-09-08T14:44:23.492131Z	[35mDEBUG[0m	metrics/health_check.go:42	beacon node is healthy	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491"}
2022-09-08T14:44:23.492179Z	[34mINFO[0m	operator/node.go:156	starting operator node syncing with eth1	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "operatorNode"}
2022-09-08T14:44:23.492195Z	[34mINFO[0m	eth1/sync.go:53	syncing eth1 contract events	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "operatorNode"}
2022-09-08T14:44:23.492263Z	[35mDEBUG[0m	eth1/sync.go:120	using last sync offset	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "operatorNode", "syncOffset": 7553788}
2022-09-08T14:44:23.492284Z	[35mDEBUG[0m	goeth/goETH.go:244	syncing smart contract events	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "fromBlock": 7553788}
2022-09-08T14:44:23.709811Z	[35mDEBUG[0m	goeth/goETH.go:314	fetching event logs	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "fromBlock": 7553788}
2022-09-08T14:44:24.215757Z	[35mDEBUG[0m	goeth/goETH.go:321	got event logs	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "fromBlock": 7553788, "results": 5}
