Build ./bin/ssvnode
Build ./config/config.yaml
Build 
Command --config=./config/config.yaml --share-config=./config/share4.yaml
Running node on address: 84.110.33.146)
2022-09-08T15:37:59.764490Z	[34mINFO[0m	validator/controller_shares.go:36	successfully loaded validators from config	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "validatorsController", "pubkeys": ["855589217256062059957bc5535e027d751683d756f593827fb1575e714a24f682e80891b73021c06347ce604c2e1271"]}
2022-09-08T15:37:59.764674Z	[34mINFO[0m	metrics/handler.go:60	setup metrics collection	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "metrics/handler", "addr": ":15004", "enableProf": false}
2022-09-08T15:37:59.975890Z	[35mDEBUG[0m	metrics/health_check.go:42	eth1 node is healthy	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491"}
2022-09-08T15:38:00.184967Z	[35mDEBUG[0m	metrics/health_check.go:42	beacon node is healthy	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491"}
2022-09-08T15:38:00.185020Z	[34mINFO[0m	operator/node.go:156	starting operator node syncing with eth1	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "operatorNode"}
2022-09-08T15:38:00.185040Z	[34mINFO[0m	eth1/sync.go:53	syncing eth1 contract events	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "operatorNode"}
2022-09-08T15:38:00.185122Z	[35mDEBUG[0m	eth1/sync.go:120	using last sync offset	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "operatorNode", "syncOffset": 7553809}
2022-09-08T15:38:00.185150Z	[35mDEBUG[0m	goeth/goETH.go:244	syncing smart contract events	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "fromBlock": 7553809}
2022-09-08T15:38:00.396218Z	[35mDEBUG[0m	goeth/goETH.go:314	fetching event logs	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "fromBlock": 7553809}
2022-09-08T15:38:01.242322Z	[35mDEBUG[0m	goeth/goETH.go:321	got event logs	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "fromBlock": 7553809, "results": 38}
2022-09-08T15:38:01.242734Z	[35mDEBUG[0m	goeth/goETH.go:407	unsupported contract event was received, skipping	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "eventName": "FundsDeposit", "block": 7553933, "txHash": "0x9fb24f5c126ac9eff31d55b1f80825d9d835c54b77119dd9425bc471c80075e3"}
2022-09-08T15:38:01.242824Z	[35mDEBUG[0m	goeth/goETH.go:407	unsupported contract event was received, skipping	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "eventName": "FundsDeposit", "block": 7553949, "txHash": "0x3a73449c329001c2f8cdd2d9fc209ba2ab96360dc2da5acb233bd1f9af2a5f76"}
2022-09-08T15:38:01.242873Z	[35mDEBUG[0m	goeth/goETH.go:407	unsupported contract event was received, skipping	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "eventName": "FundsDeposit", "block": 7553961, "txHash": "0x699225e12b7412f276af973452db268ef34abb55b153cc7fcaed89296ac9c145"}
2022-09-08T15:38:01.242971Z	[35mDEBUG[0m	goeth/goETH.go:407	unsupported contract event was received, skipping	{"app": "SSV-Node:v0.2.1-rc.5-112-g788b6491", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "eventName": "FundsDeposit", "block": 7553971, "txHash": "0x1bcb84c1c318848bfc37298c3590b6f4d4463e35c1a85bcb15c136f3b948bad8"}
