Build ./bin/ssvnode
Build ./config/config.yaml
Build 
Command --config=./config/config.yaml --share-config=./config/share2.yaml
Running node on address: 84.110.33.146)
2022-09-14T13:48:05.867362Z	[35mDEBUG[0m	metrics/health_check.go:42	beacon node is healthy	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c"}
2022-09-14T13:48:05.867418Z	[34mINFO[0m	operator/node.go:156	starting operator node syncing with eth1	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operatorNode"}
2022-09-14T13:48:05.867433Z	[34mINFO[0m	eth1/sync.go:53	syncing eth1 contract events	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operatorNode"}
2022-09-14T13:48:05.867492Z	[35mDEBUG[0m	eth1/sync.go:120	using last sync offset	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operatorNode", "syncOffset": 7590562}
2022-09-14T13:48:05.867508Z	[35mDEBUG[0m	goeth/goETH.go:244	syncing smart contract events	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "fromBlock": 7590562}
2022-09-14T13:48:06.082141Z	[35mDEBUG[0m	goeth/goETH.go:314	fetching event logs	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "fromBlock": 7590562}
2022-09-14T13:48:06.298162Z	[35mDEBUG[0m	goeth/goETH.go:321	got event logs	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "fromBlock": 7590562, "results": 1}
2022-09-14T13:48:06.298308Z	[35mDEBUG[0m	goeth/goETH.go:342	event logs were received and parsed successfully	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "fromBlock": 7590562, "results": 1, "successCount": 1}
2022-09-14T13:48:06.298326Z	[35mDEBUG[0m	goeth/goETH.go:295	finished syncing registry contract	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "eth1GoETH", "address": "0xb9e155e65B5c4D66df28Da8E9a0957f06F11Bc04", "total events": 1, "total success": 1}
2022-09-14T13:48:06.298492Z	[35mDEBUG[0m	storage/operators.go:148	operator already exist	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "operator-storage", "pubKey": "LS0tLS1CRUdJTiBSU0EgUFVCTElDIEtFWS0tLS0tCk1JSUJJakFOQmdrcWhraUc5dzBCQVFFRkFBT0NBUThBTUlJQkNnS0NBUUVBNG9hd3QrNWZaSDk2cTAxdlpQbmgKSUFWRG95MWJ4NW5LVHQ0M2lGUHVlcHZBWStPNzUzK3BiMEtadkEwSVpuTXNvdy9oSTRuNkYzZkQvWWx2bGh0WQovRXZiR3gxL1c5UU1QWXNrUDFGazgyQ0tkOFVRczY4K2NEQkVFekxoZ1hyVldQV2R2ZU9QbE4yekg3bXZ5NnBHClFwMi9XK2ZHSWhUUlRkb21nUEtPTE9CN1dFdmFMU1FvQWpndWxLZC8vZCtkVVhlRzFqelg5Z1RlRG5UYnBKL1MKMFU2bWJJbXQ5c3FYYlZ3MXJFcUFTb0trNS80bDZyS21nL29PREYwbXIzR2RQMDlBN1F2c0FabkdxWEhUQmZtLwpFSXgwYU8yY0cycnJ6LzUwSlZtUXdKamxsbkhoL1dOZFg0MTFhSTFBSnlDbDg1K0k1anlYMW9paE1BSjhiRGRuCk5RSURBUUFCCi0tLS0tRU5EIFJTQSBQVUJMSUMgS0VZLS0tLS0K", "index": 551}
2022-09-14T13:48:06.298582Z	[35mDEBUG[0m	exporter/metrics.go:32	report operator	{"app": "SSV-Node:v0.2.1-rc.5-137-g34029c4c", "component": "validatorsController", "pkHash": "3abca6eefc4fab534495cacfdbfe515b9f7f987129788d2b784006114416c3d1", "name": "21vtest0914", "index": 551}
