goos: darwin
goarch: amd64
pkg: github.com/bloxapp/ssv/protocol/v2/types
cpu: Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz
BenchmarkSignPKCS1v15FastHash-12      	     861	   1390220 ns/op	     896 B/op	       5 allocs/op
BenchmarkSignPKCS1v15FastHash-12      	     860	   1394548 ns/op	     896 B/op	       5 allocs/op
BenchmarkSignPKCS1v15FastHash-12      	     866	   1408246 ns/op	     896 B/op	       5 allocs/op
BenchmarkSignPKCS1v15FastHash-12      	     846	   1491407 ns/op	     896 B/op	       5 allocs/op
BenchmarkSignPKCS1v15FastHash-12      	     849	   1429301 ns/op	     896 B/op	       5 allocs/op
BenchmarkSignPKCS1v15FastHash-12      	     782	   1413436 ns/op	     896 B/op	       5 allocs/op
BenchmarkSignPKCS1v15FastHash-12      	     849	   1617293 ns/op	     896 B/op	       5 allocs/op
BenchmarkSignPSS-12                   	     848	   1447972 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     855	   1427653 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     841	   1542884 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     758	   1452836 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     854	   1404188 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     847	   1420860 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     842	   1472672 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     840	   1441074 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     837	   1440406 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     832	   1447697 ns/op	    1296 B/op	      10 allocs/op
PASS
ok  	github.com/bloxapp/ssv/protocol/v2/types	107.146s
