goos: darwin
goarch: amd64
pkg: github.com/bloxapp/ssv/protocol/v2/types
cpu: Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz
BenchmarkSignPKCS1v15FastHash-12      	     861	   1397535 ns/op	     896 B/op	       5 allocs/op
BenchmarkSignPKCS1v15FastHash-12      	     865	   1393149 ns/op	     896 B/op	       5 allocs/op
BenchmarkSignPKCS1v15FastHash-12      	     860	   1391942 ns/op	     896 B/op	       5 allocs/op
BenchmarkSignPKCS1v15FastHash-12      	     862	   1387513 ns/op	     896 B/op	       5 allocs/op
BenchmarkSignPKCS1v15FastHash-12      	     862	   1388747 ns/op	     896 B/op	       5 allocs/op
BenchmarkSignPKCS1v15FastHash-12      	     861	   1395026 ns/op	     896 B/op	       5 allocs/op
BenchmarkSignPKCS1v15FastHash-12      	     865	   1390115 ns/op	     896 B/op	       5 allocs/op
BenchmarkSignPSS-12                   	     849	   1393068 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     859	   1392197 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     864	   1396537 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     859	   1394676 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     838	   1413671 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     864	   1400155 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     860	   1404747 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     852	   1476528 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     854	   1402224 ns/op	    1296 B/op	      10 allocs/op
BenchmarkSignPSS-12                   	     856	   1428622 ns/op	    1296 B/op	      10 allocs/op
PASS
ok  	github.com/bloxapp/ssv/protocol/v2/types	104.133s
